,Trade Value,Trade Value,Trade Value,Trade Value,Quantity,Quantity,Price,Price,Price,Price,Trade Date,Trade Date
,sum,count,mean,std,sum,mean,min,max,mean,std,min,max
MOTHERSON,92400.0,7,13200.0,18501.36,1400,200.0,65.8,66.2,66.14,0.15,2023-03-24,2023-03-24
MOTILALOFS,451464.55,41,11011.33,23780.28,720,17.56,602.6,684.45,634.84,37.34,2023-02-10,2023-03-31
MPHASIS,204397.9,15,13626.53,24630.73,102,6.8,2000.0,2009.95,2002.5,3.7,2023-01-09,2023-01-23
MRPL,117533.05,11,10684.82,10954.8,2000,181.82,58.65,58.9,58.8,0.12,2023-03-15,2023-03-15
MTARTECH,395439.1,23,17193.0,20460.51,202,8.78,1911.5,1963.95,1953.98,13.78,2023-05-09,2023-05-17
MUTHOOTFIN,20094.0,2,10047.0,31.11,20,10.0,1002.5,1006.9,1004.7,3.11,2023-02-08,2023-02-08
NATIONALUM,465403.2,7,66486.17,83402.29,5908,844.0,78.75,78.8,78.76,0.02,2023-02-13,2023-02-13
NAVINFLUOR,260491.35,11,23681.03,27596.65,62,5.64,4148.95,4285.0,4221.64,46.65,2023-02-16,2023-03-09
NAZARA,235371.7,26,9052.76,16046.54,426,16.38,507.85,578.2,544.3,25.94,2023-02-28,2023-05-15
NBCC,103500.0,7,14785.71,18865.53,3000,428.57,34.4,34.6,34.46,0.1,2023-03-23,2023-03-23
NCC,89977.5,3,29992.5,18662.78,900,300.0,99.95,100.0,99.97,0.03,2023-03-09,2023-03-09
NELCO,236526.3,23,10283.75,9749.42,320,13.91,735.95,742.75,739.08,3.0,2023-07-03,2023-07-03
NEOGEN,33631.75,5,6726.35,5816.14,20,4.0,1660.75,1702.4,1669.1,18.62,2023-06-26,2023-06-26
NETWORK18,177175.3,17,10422.08,15599.34,3000,176.47,58.95,59.15,59.06,0.08,2023-05-11,2023-05-11
NIACL,655361.15,45,14563.58,24467.46,5772,128.27,105.3,121.55,110.01,5.98,2023-02-17,2023-05-26
NIITLTD,1413583.55,30,47119.45,87190.16,3602,120.07,389.5,396.0,393.35,2.98,2023-05-19,2023-05-19
NMDC,2153.0,2,1076.5,1.41,20,10.0,107.55,107.75,107.65,0.14,2023-07-07,2023-07-07
NOVARTIND,166806.8,14,11914.77,22084.53,200,14.29,833.5,834.5,833.77,0.31,2023-07-04,2023-07-04
NSLNISP,614337.3,17,36137.49,55268.4,15002,882.47,40.35,41.45,41.01,0.49,2023-05-25,2023-05-25
NTPC,50184.5,2,25092.25,51.27,290,145.0,172.8,173.3,173.05,0.35,2023-02-27,2023-02-27
NUVOCO,119741.45,38,3151.09,3371.02,360,9.47,331.5,333.7,333.04,0.94,2023-03-21,2023-03-21
NYKAA,243668.0,24,10152.83,14327.65,1600,66.67,147.65,154.15,152.41,1.55,2023-02-13,2023-03-06
OBEROIRLTY,295057.65,13,22696.74,29059.34,350,26.92,842.9,843.1,843.01,0.06,2023-01-19,2023-01-19
OFSS,32035.5,3,10678.5,4900.18,10,3.33,3201.85,3205.25,3202.98,1.96,2023-03-21,2023-03-21
OLECTRA,2600371.45,101,25746.25,48662.2,3804,37.66,525.2,805.0,683.35,66.28,2023-02-27,2023-06-05
ONGC,99988.05,5,19997.61,19054.14,678,135.6,147.25,147.7,147.61,0.2,2023-02-13,2023-02-13
ORIENTCEM,3796.5,2,1898.25,20.86,20,10.0,188.35,191.3,189.82,2.09,2023-08-09,2023-08-09
PARAGMILK,100760.0,3,33586.67,20140.6,900,300.0,111.75,112.2,112.03,0.25,2023-06-16,2023-06-16
PARAS,12550.5,2,6275.25,6.72,20,10.0,627.05,628.0,627.52,0.67,2023-07-03,2023-07-03
PAYTM,653190.95,20,32659.55,32716.95,966,48.3,658.05,714.0,671.44,14.6,2023-02-09,2023-02-13
PCBL,464129.3,28,16576.05,26605.6,3602,128.64,123.5,145.6,135.47,10.67,2023-04-26,2023-06-13
PERSISTENT,243585.25,11,22144.11,33821.64,54,4.91,3964.05,4558.0,4367.55,224.39,2023-01-11,2023-04-18
PFC,598702.5,18,33261.25,25878.24,3420,190.0,145.1,201.5,176.96,24.8,2023-01-04,2023-06-12
PIIND,240070.45,10,24007.04,26839.86,80,8.0,2996.65,3004.45,2998.7,3.06,2023-02-06,2023-02-06
PNB,307350.0,10,30735.0,40719.79,6000,600.0,50.9,51.7,51.5,0.32,2023-02-10,2023-02-13
PNBHOUSING,127578.05,9,14175.34,17918.2,222,24.67,434.05,581.3,538.12,61.07,2023-02-10,2023-06-07
POCL,139384.7,19,7336.04,11369.71,320,16.84,434.1,436.9,434.93,1.06,2023-06-14,2023-06-14
POLICYBZR,1798654.9,97,18542.83,24373.86,3412,35.18,426.3,667.55,512.26,82.89,2023-02-01,2023-06-19
POLYCAB,674829.05,22,30674.05,27302.64,226,10.27,2732.8,3065.0,2974.36,136.89,2023-01-19,2023-02-02
POLYMED,427599.4,42,10180.94,20603.57,420,10.0,1014.0,1025.0,1017.67,3.59,2023-06-09,2023-06-09
POLYPLEX,12637.75,3,4212.58,2632.06,10,3.33,1263.1,1264.45,1263.55,0.78,2023-08-10,2023-08-10
POONAWALLA,115425.0,2,57712.5,147.79,380,190.0,303.2,304.3,303.75,0.78,2023-02-09,2023-02-09
POWERGRID,465901.1,24,19412.55,36422.17,2004,83.5,224.6,236.3,232.08,4.96,2023-03-27,2023-05-22
POWERINDIA,238549.4,29,8225.84,10554.12,64,2.21,3723.3,3736.3,3728.14,2.97,2023-05-09,2023-05-09
POWERMECH,215350.95,17,12667.7,9298.69,60,3.53,3571.25,3606.2,3595.84,15.52,2023-07-04,2023-07-04
PRAJIND,356066.25,13,27389.71,40702.92,890,68.46,398.95,402.65,400.55,1.52,2023-07-07,2023-07-07
PRECAM,1316814.65,108,12192.73,23345.41,7602,70.39,172.65,173.95,173.36,0.39,2023-05-17,2023-05-17
PRESTIGE,103624.85,23,4505.43,5411.9,220,9.57,462.9,546.3,470.37,23.37,2023-01-04,2023-06-12
PRINCEPIPE,224896.95,21,10709.38,10671.77,340,16.19,656.2,666.15,660.47,4.33,2023-06-12,2023-08-03
PRIVISCL,239771.75,58,4134.0,5435.65,250,4.31,958.2,960.05,958.92,0.49,2023-02-17,2023-02-17
PSB,63.15,2,31.58,0.18,2,1.0,31.45,31.7,31.58,0.18,2023-05-26,2023-05-26
QUESS,1123040.55,64,17547.51,33117.74,2802,43.78,392.4,412.0,400.89,8.71,2023-05-17,2023-05-29
RAILTEL,2669.5,2,1334.75,0.35,20,10.0,133.45,133.5,133.48,0.04,2023-06-27,2023-06-27
RAINBOW,1668.15,2,834.08,0.46,2,1.0,833.75,834.4,834.08,0.46,2023-05-12,2023-05-12
RAJESHEXPO,428953.8,54,7943.59,10698.12,668,12.37,630.55,732.8,646.29,34.41,2023-02-21,2023-03-20
RAJRATAN,16891.05,5,3378.21,1789.92,20,4.0,842.15,846.95,845.03,2.61,2023-06-26,2023-06-26
RAMCOCEM,238797.85,11,21708.9,37439.17,350,31.82,681.1,776.05,698.58,37.47,2023-02-07,2023-05-11
RATNAMANI,47907.9,10,4790.79,4857.77,22,2.2,2157.3,2197.95,2185.76,19.62,2023-02-21,2023-02-21
RAYMOND,524151.1,40,13103.78,12939.55,348,8.7,1287.35,1814.15,1530.15,169.02,2023-03-15,2023-07-10
RCF,392396.3,6,65399.38,100419.55,3622,603.67,108.1,110.75,109.44,1.04,2023-04-27,2023-06-27
RECLTD,1054223.95,59,17868.2,20051.89,8602,145.8,117.2,131.55,121.77,4.46,2023-02-01,2023-05-10
REDINGTON,97824.75,5,19564.95,18221.24,562,112.4,173.0,175.15,174.63,0.93,2023-05-25,2023-05-25
RENUKA,317372.5,10,31737.25,56651.1,7100,710.0,44.55,46.55,45.44,0.89,2023-03-23,2023-04-13
REPCOHOME,1781326.05,123,14482.33,28875.19,6420,52.2,274.55,279.9,276.81,1.09,2023-06-05,2023-06-05
REVATHI,145559.2,19,7661.01,8339.05,80,4.21,1810.0,1831.0,1823.37,8.1,2023-06-07,2023-06-07
RHIM,763954.15,105,7275.75,15108.61,1194,11.37,612.6,692.35,641.89,30.29,2023-02-16,2023-05-26
RKFORGE,303292.0,16,18955.75,22014.33,802,50.12,375.5,379.35,378.58,1.15,2023-05-29,2023-05-29
ROHLTD,99419.0,14,7101.36,7334.36,262,18.71,378.35,380.65,379.78,1.03,2023-05-25,2023-05-25
ROSSARI,68156.15,16,4259.76,2784.69,80,5.0,843.35,861.7,854.88,7.01,2023-06-23,2023-08-10
ROUTE,2814.0,2,1407.0,2.83,2,1.0,1405.0,1409.0,1407.0,2.83,2023-05-16,2023-05-16
RUPA,513.65,2,256.83,1.03,2,1.0,256.1,257.55,256.83,1.03,2023-05-30,2023-05-30
RVNL,1186738.8,54,21976.64,31355.32,11546,213.81,83.05,127.4,109.24,17.28,2023-04-24,2023-06-26
SAIL,104040.0,2,52020.0,84.85,1200,600.0,86.6,86.8,86.7,0.14,2023-01-04,2023-01-04
SAKSOFT,4829.5,2,2414.75,7.42,20,10.0,240.95,242.0,241.48,0.74,2023-06-01,2023-06-01
SALZERELEC,118518.9,18,6584.38,6754.08,320,17.78,369.2,371.7,370.45,1.22,2023-07-06,2023-07-06
SANSERA,62045.35,10,6204.54,3246.95,70,7.0,883.5,891.55,887.44,2.92,2023-06-22,2023-06-22
SBICARD,102260.2,6,17043.37,18623.06,130,21.67,786.5,786.75,786.69,0.1,2023-01-04,2023-01-04
SCHNEIDER,32491.0,5,6498.2,6921.72,120,24.0,190.05,287.1,248.24,52.67,2023-05-23,2023-08-01
SELAN,250708.55,64,3917.32,7405.27,800,12.5,312.0,315.0,313.34,1.32,2023-06-26,2023-06-26
SESHAPAPER,5695.0,2,2847.5,6.36,20,10.0,284.3,285.2,284.75,0.64,2023-07-07,2023-07-07
SHAKTIPUMP,12135.65,6,2022.61,2326.11,20,3.33,605.85,607.5,606.28,0.62,2023-06-19,2023-06-19
SHALBY,3593.9,3,1197.97,748.98,20,6.67,179.45,179.9,179.62,0.25,2023-07-06,2023-07-06
