Trade Date,Daily_Volume,Daily_Trades,Avg_Trade_Size,Unique_Stocks,Avg_Price
2023-06-19,1258872.05,145,8681.88,7,640.74
2023-06-20,958604.8,63,15215.95,6,566.45
2023-06-21,1323582.15,50,26471.64,7,539.71
2023-06-22,1988300.4,149,13344.3,5,391.71
2023-06-23,549737.75,62,8866.74,5,946.49
2023-06-26,1472130.9,144,10223.13,9,473.54
2023-06-27,1128281.2,109,10351.2,11,469.02
2023-06-28,841690.65,75,11222.54,6,217.22
2023-07-03,1225356.35,100,12253.56,7,522.95
2023-07-04,1381599.6,120,11513.33,7,1086.13
2023-07-05,2226599.5,252,8835.71,6,395.36
2023-07-06,1793569.35,363,4940.96,10,375.85
2023-07-07,1251219.9,86,14549.07,11,390.69
2023-07-10,41860.9,12,3488.41,4,909.3
2023-07-11,202103.65,43,4700.08,1,280.79
2023-08-01,74671.4,9,8296.82,3,729.17
2023-08-02,39175.65,6,6529.28,3,1160.92
2023-08-03,44955.4,11,4086.85,4,918.02
2023-08-08,34843.35,10,3484.34,2,1349.16
2023-08-09,3796.5,2,1898.25,1,189.82
2023-08-10,46396.3,10,4639.63,4,1124.38
